Score	Bval	Edges
-2177.4461	0.000218658066696	5->8,0->3
-2177.4603	0.000215269261039	5->8,0->3
-2177.4812	0.000211950546418	5->8,0->3
-2177.5378	0.000208814454082	5->8,0->3
-2177.5543	0.000205729682708	5->8,0->3
-2177.5594	0.000202660603618	5->8,0->3
-2177.5681	0.000199618109703	5->8,0->3
-2177.5697	0.000196580479887	5->8,0->3
-2177.5932	0.000193613402137	5->8,0->3
-2177.6300	0.0001907535282	5->8,0->3
-2177.6318	0.000187898797406	5->8,0->3
-2177.6325	0.000185046064225	5->8,0->3
-2177.6729	0.000182306284442	5->8,0->3
-2177.6734	0.000179567874207	5->8,0->3
-2177.6967	0.000176892531343	5->8,0->3
-2177.7414	0.0001743341429	5->8,0->3
-2177.7452	0.000171785457885	5->8,0->3
-2177.8041	0.00016938255499	5->8,0->3
-2177.8309	0.00016704319462	5->8,0->3
-2177.8414	0.000164728269027	5->8,0->3
-2177.8448	0.000162421200816	5->8,0->3
-2177.8463	0.000160117590613	5->8,0->3
-2177.8644	0.000157855300678	5->8,0->3
-2177.8747	0.000155616192738	5->8,0->3
-2177.8833	0.00015339625856	5->8,0->3
-2177.8840	0.000151177877792	5->8,0->3
-2177.9034	0.000149002118843	5->8,0->3
-2177.9091	0.000146838726442	5->8,0->3
-2177.9143	0.000144686554483	5->8,0->3
-2177.9245	0.000142556223101	5->8,0->3
-2177.9328	0.000140443500294	0->3
-2177.9733	0.000138414633219	0->3
-2177.9765	0.000136392248143	0->3
-2177.9952	0.000134407330257	0->3
-2177.9968	0.000132425585701	0->3
-2178.0270	0.000130502795144	0->3
-2178.0343	0.000128593989851	0->3
-2178.0557	0.000126725599013	0->3
-2178.0756	0.000124894021644	0->3
-2178.0825	0.000123075038658	0->3
-2178.1160	0.000121315982229	0->3
-2178.1180	0.000119560440396	0->3
-2178.1486	0.000117857804554	0->3
-2178.1513	0.000116159759628	0->3
-2178.1540	0.000114466293239	0->3
-2178.1607	0.00011278413515	0->3
-2178.1717	0.000111120379402	0->3
-2178.1843	0.00010947745546	0->3
-2178.1910	0.000107845502315	0->3
-2178.2280	0.000106272828015	0->3
-2178.2480	0.000104731294753	0->3
-2178.2531	0.000103197603298	0->3
-2178.2608	0.000101675675916	0->3
-2178.2858	0.000100191325055	0->3
-2178.3037	9.87333076872e-005	0->3
